年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,23,土,えだまめ,35500,271,2445
2021,1,23,土,さといも,36300,84110,311
2021,1,23,土,たまねぎ,36610,1769392,91
2021,1,23,土,にんにく,36700,20082,1453
2021,1,23,土,しょうが,37200,21921,698
2021,1,23,土,生しいたけ,38100,88738,1019
2021,1,23,土,なめこ,38300,30319,471
2021,1,23,土,えのきだけ,38400,184105,337
2021,1,23,土,しめじ,38500,105813,531
2021,1,25,月,だいこん,30100,1307091,75
2021,1,25,月,かぶ,30200,93009,134
2021,1,25,月,にんじん,30300,759490,125
2021,1,25,月,ごぼう,30400,105766,414
2021,1,25,月,たけのこ,30500,1462,1013
2021,1,25,月,れんこん,30600,69045,382
2021,1,25,月,はくさい,31100,1380954,44
2021,1,25,月,みずな,31300,49042,373
2021,1,25,月,こまつな,31500,96162,473
2021,1,25,月,ちんげんさい,31560,34076,391
2021,1,25,月,キャベツ,31700,1208301,103
2021,1,25,月,ほうれんそう,31800,147153,577
2021,1,25,月,ねぎ,31900,387743,426
2021,1,25,月,みつば,32500,11914,551
2021,1,25,月,しゅんぎく,32600,23617,698
2021,1,25,月,にら,32800,64947,1007
2021,1,25,月,アスパラガス,33100,10591,1250
2021,1,25,月,カリフラワー,33200,30338,252
